"doi","period","issn","ut"
"10.1007/s11262-017-1486-3","2017","0920-8569","412097300009"
"10.1007/s10965-016-1137-8","2016","1022-9760","392437400001"
"10.1007/s10707-015-0240-z","2016","1384-6175","375566500002"
"10.1007/s10707-016-0244-3","2016","1384-6175","373152400002"
"10.1007/s10707-016-0258-x","2017","1384-6175","395099800009"
"10.1007/s10551-016-3302-8","2017","0167-4544","402733500001"
"10.1007/s10680-017-9429-1","2017","0168-6577","412955700006"
"10.1007/s10468-016-9639-y","2017","1386-923X","394266700010"
"10.1007/s11049-016-9338-8","2017","0167-806X","389989400002"
"10.1007/s11049-016-9335-y","2017","0167-806X","389989400005"
"10.1007/s10831-017-9155-z","2017","0925-8558","400075700003"
"10.1007/s10763-014-9613-2","2016","1571-0068","381226900004"
"10.1007/s10763-015-9670-1","2017","1571-0068","390015800009"
"10.1007/s10763-015-9683-9","2017","1571-0068","391393300003"
"10.1007/s10658-016-0932-8","2016","0929-1873","377403200012"
"10.1007/s10658-016-1119-z","2017","0929-1873","402459300014"
"10.1007/s11119-016-9477-2","2017","1385-2256","400083100001"
"10.1007/s10844-016-0422-7","2017","0925-9902","405217400005"
"10.1007/s10440-015-0036-z","2016","0167-8019","379315200002"
"10.1007/s12138-016-0426-2","2017","1073-0508","412738000005"
"10.1007/s10518-016-9889-4","2016","1570-761X","381152400004"
"10.1007/s00705-016-2815-x","2016","0304-8608","376405500009"
"10.1007/s00705-016-2849-0","2016","0304-8608","378565500023"
"10.1007/s00705-016-3161-8","2017","0304-8608","395185300018"
"10.1007/s00726-015-2154-3","2016","0939-4451","374375300006"
"10.1007/s00726-016-2357-2","2017","0939-4451","395866000005"
"10.1007/s00604-015-1654-x","2016","0026-3672","367692900031"
"10.1007/s00604-016-2012-3","2017","0026-3672","389353900033"
"10.1007/s00604-017-2088-4","2017","0026-3672","399900600016"
"10.1007/s00710-017-0496-0","2017","0930-0708","416061000001"
"10.1007/s00603-016-1010-4","2016","0723-2632","387849400004"
"10.1007/s10354-016-0465-y","2016","0043-5341","380361300002"
"10.1007/s00601-016-1143-8","2016","0177-7963","386369500004"
"10.1007/s00707-017-1930-4","2017","0001-5970","417529300013"
"10.1007/s10353-016-0410-8","2016","1682-8631","376594600007"
"10.1007/s00702-016-1664-9","2017","0300-9564","394433100010"
"10.1007/s00702-016-1648-9","2017","0300-9564","394160400006"
"10.1007/s00702-017-1705-z","2017","0300-9564","402237500009"
"10.1007/s00702-015-1448-7","2017","0300-9564","394161800006"
"10.1007/s00702-015-1460-y","2017","0300-9564","394161800014"
"10.1007/s00702-017-1762-3","2017","0300-9564","411938200008"
"10.1007/s00502-017-0474-6","2017","0932-383X","394976800024"
"10.1007/s00502-017-0489-z","2017","0932-383X","399147000006"
"10.1007/s00712-016-0477-5","2016","0931-8658","380272200003"
"10.1007/s00712-016-0504-6","2016","0931-8658","385180300005"
"10.1007/s00712-016-0506-4","2016","0931-8658","382731900001"
"10.1007/s00712-016-0510-8","2017","0931-8658","392031500007"
"10.1007/s13163-016-0203-4","2016","1139-1138","382116500009"
"10.1007/s00592-016-0862-0","2016","0940-5429","382942400005"
"10.1007/s10092-016-0210-3","2017","0008-0624","410163200009"
"10.1007/s10092-017-0228-1","2017","0008-0624","416357700007"
"10.1007/s12567-016-0129-1","2016","1868-2502","390989500006"
"10.1007/s12567-016-0130-8","2017","1868-2502","398957200004"
"10.1007/s00607-016-0523-8","2017","0010-485X","393699000005"
"10.1007/s00607-016-0528-3","2017","0010-485X","403460000004"
"10.1007/s00701-015-2645-8","2016","0001-6268","366975000015"
"10.1007/s00701-016-2989-8","2016","0001-6268","388113100025"
"10.1007/s00701-016-2919-9","2016","0001-6268","383703400015"
"10.1007/s00701-016-3053-4","2017","0001-6268","394459300006"
"10.1007/s00701-016-3007-x","2017","0001-6268","393022000012"
"10.1007/s00701-017-3152-x","2017","0001-6268","401117700011"
"10.1007/s00701-017-3304-z","2017","0001-6268","412754600021"
"10.1007/s00701-017-3270-5","2017","0001-6268","407824100006"
"10.1007/s10103-016-1936-5","2016","0268-8921","378543200014"
"10.1007/s10103-016-1902-2","2016","0268-8921","375328200009"
"10.1007/s10103-017-2204-z","2017","0268-8921","403471600009"
"10.1007/s10103-017-2270-2","2017","0268-8921","408480800007"
"10.1007/s10067-016-3395-6","2016","0770-3198","385142900029"
"10.1007/s00170-016-9786-7","2017","0268-3768","402260300109"
"10.1007/s00170-017-0375-1","2017","0268-3768","408275000101"
"10.1007/s00198-016-3842-x","2017","0937-941X","398518800010"
"10.1007/s00779-017-1031-3","2017","1617-4909","416170900010"
"10.1007/s00498-016-0183-4","2017","0932-4194","398102800003"
"10.1007/s40961-017-0095-9","2017","0970-7794","396361000013"
"10.1007/s10013-016-0223-x","2017","2305-221X","393860800011"
"10.1007/s10040-016-1464-1","2016","1431-2174","386340700020"
"10.1007/s10040-016-1476-x","2017","1431-2174","394239800017"
"10.1007/s00520-015-2812-8","2016","0941-4355","365817800051"
"10.1007/s00520-016-3076-7","2016","0941-4355","374983300039"
"10.1007/s00520-016-3090-9","2016","0941-4355","374983300043"
"10.1007/s00520-016-3411-z","2017","0941-4355","389354500032"
"10.1007/s00520-016-3541-3","2017","0941-4355","399153200012"
"10.1007/s00520-017-3667-y","2017","0941-4355","404159800029"
"10.1007/s00340-017-6720-0","2017","0946-2171","402982600001"
"10.1007/s00340-017-6642-x","2017","0946-2171","394290900010"
"10.1140/epjb/e2016-70013-y","2016","1434-6028","395951700003"
"10.1140/epjb/e2017-80063-2","2017","1434-6028","402974100001"
"10.1140/epjb/e2017-80087-6","2017","1434-6028","415220600005"
"10.1007/s11626-016-0118-x","2017","1071-2690","400361100002"
"10.1007/s00148-017-0633-4","2017","0933-1433","399885700009"
"10.1007/s00193-016-0631-6","2017","0938-1287","393638300006"
"10.1007/s00193-017-0752-6","2017","0938-1287","408652700012"
"10.1007/s00217-015-2513-z","2016","1438-2377","368105400002"
"10.1007/s00217-016-2800-3","2017","1438-2377","399215400014"
"10.1007/s00217-016-2748-3","2017","1438-2377","393688700015"
"10.1007/s00217-017-2858-6","2017","1438-2377","407927400001"
"10.1007/s00217-016-2768-z","2017","1438-2377","397040300006"
"10.1007/s00401-016-1540-6","2016","0001-6322","376277400006"
"10.1007/s00401-016-1598-1","2016","0001-6322","382011300010"
"10.1007/s00401-017-1758-y","2017","0001-6322","414162800003"
"10.1007/s10266-017-0293-6","2017","1618-1247","412925300008"
"10.1007/s00115-016-0121-1","2016","0028-2804","376099100006"
"10.1007/s00115-015-4386-6","2016","0028-2804","376099100009"
"10.1007/s00115-016-0096-y","2016","0028-2804","376099100005"
"10.1007/s00115-016-0077-1","2016","0028-2804","377413000010"
"10.1007/s00115-016-0127-8","2016","0028-2804","377413000012"
"10.1007/s00115-015-0024-6","2016","0028-2804","381288300007"
"10.1007/s00115-016-0219-5","2016","0028-2804","389988000004"
"10.1007/s00115-016-0239-1","2016","0028-2804","389988000014"
"10.1007/s00115-016-0143-8","2016","0028-2804","381288200005"
"10.1007/s00115-016-0144-7","2016","0028-2804","381288200006"
"10.1007/s00115-016-0214-x","2016","0028-2804","387494500003"
"10.1007/s00115-016-0192-z","2016","0028-2804","382885900004"
"10.1007/s00115-016-0176-z","2016","0028-2804","382885900003"
"10.1007/s00115-016-0206-x","2016","0028-2804","386063400016"
"10.1007/s00115-016-0188-8","2016","0028-2804","386063400005"
"10.1007/s00115-016-0097-x","2017","0028-2804","396329400004"
"10.1007/s00115-016-0107-z","2017","0028-2804","396329400006"
"10.1007/s00115-017-0300-8","2017","0028-2804","400754200002"
"10.1007/s00115-016-0260-4","2017","0028-2804","394237400014"
"10.1007/s00115-016-0273-z","2017","0028-2804","394237400008"
"10.1007/s00115-017-0340-0","2017","0028-2804","403480600001"
"10.1007/s00115-017-0370-7","2017","0028-2804","407569100004"
"10.1007/s00115-017-0413-0","2017","0028-2804","414917900001"
"10.1007/s00115-017-0407-y","2017","0028-2804","414917900004"
"10.1007/s00115-016-0223-9","2017","0028-2804","414917900012"
"10.1007/s00115-017-0323-1","2017","0028-2804","414917900008"
"10.1007/s00115-017-0364-5","2017","0028-2804","410258300005"
"10.1007/s00115-017-0362-7","2017","0028-2804","410258300001"
"10.1007/s00115-017-0419-7","2017","0028-2804","412481300015"
"10.1007/s00115-017-0395-y","2017","0028-2804","412481300001"
"10.1007/s00115-017-0420-1","2017","0028-2804","412481300013"
"10.1007/s00115-017-0298-y","2017","0028-2804","399237800006"
"10.1007/s10884-015-9456-8","2016","1040-7294","381983800028"
"10.1007/s00418-016-1500-1","2016","0948-6143","387811700009"
"10.1007/s00418-017-1563-7","2017","0948-6143","405559100009"
"10.1007/s00418-016-1534-4","2017","0948-6143","399886100009"
"10.1007/s00418-016-1521-9","2017","0948-6143","394463600001"
"10.1007/s10853-015-9494-y","2016","0022-2461","367647100021"
"10.1007/s10853-016-0678-x","2017","0022-2461","395103200008"
"10.1007/s10853-017-1182-7","2017","0022-2461","403407400022"
"10.1007/s10853-017-0904-1","2017","0022-2461","397817100046"
"10.1007/s10853-016-0522-3","2017","0022-2461","389409400043"
"10.1007/s00407-017-0188-5","2017","0003-9519","399808300002"
"10.1007/s00220-015-2483-9","2016","0010-3616","367917400002"
"10.1007/s00220-016-2725-5","2016","0010-3616","382931300010"
"10.1007/s00220-016-2737-1","2017","0010-3616","393698600009"
"10.1007/s00220-017-2860-7","2017","0010-3616","399923900012"
"10.1007/s00453-015-0048-0","2016","0178-4617","377357800004"
"10.1007/s00453-015-0041-7","2016","0178-4617","377359000004"
"10.1007/s00453-016-0191-2","2017","0178-4617","405494100010"
"10.1007/s10437-017-9262-2","2017","0263-0338","413733100002"
"10.1007/s10437-017-9266-y","2017","0263-0338","419588500010"
"10.3758/s13423-015-0949-6","2016","1069-9384","381177400027"
"10.3758/s13423-015-0876-6","2016","1069-9384","373788700029"
"10.3758/s13423-015-0987-0","2016","1069-9384","385152900005"
"10.3758/s13423-017-1239-2","2017","1069-9384","413698300026"
"10.3758/s13423-017-1227-6","2017","1069-9384","416329000003"
"10.1007/s00109-015-1370-3","2016","0946-2716","375715200008"
"10.1007/s00109-016-1450-z","2016","0946-2716","390029900003"
"10.1007/s00109-016-1432-1","2016","0946-2716","382112400006"
"10.1007/s00109-017-1526-4","2017","0946-2716","402017500009"
"10.1007/s00109-017-1603-8","2017","0946-2716","413973800001"
"10.1007/s00109-017-1577-6","2017","0946-2716","411634900001"
"10.1007/s00420-016-1138-2","2016","0340-0131","379192800013"
"10.1007/s00420-016-1155-1","2016","0340-0131","385249600004"
"10.1007/s00420-015-1107-1","2016","0340-0131","374168900003"
"10.1007/s00420-017-1242-y","2017","0340-0131","412896400007"
"10.1007/s00420-017-1202-6","2017","0340-0131","399224600005"
"10.1007/s00441-016-2423-9","2016","0302-766X","385139100014"
"10.1007/s00441-016-2420-z","2016","0302-766X","385139100020"
"10.1007/s00441-016-2433-7","2017","0302-766X","391387300008"
"10.1007/s00441-016-2501-z","2017","0302-766X","393641300015"
"10.1007/s00441-017-2630-z","2017","0302-766X","403936100020"
"10.1007/s00441-017-2628-6","2017","0302-766X","403936100004"
"10.1007/s00441-017-2636-6","2017","0302-766X","403936100009"
"10.1007/s00441-017-2607-y","2017","0302-766X","407435900002"
"10.1007/s00467-015-3069-7","2016","0931-041X","367457800004"
"10.1007/s00467-017-3648-x","2017","0931-041X","401926600021"
"10.1007/s00467-017-3710-8","2017","0931-041X","409029400019"
"10.1007/s11340-017-0312-0","2017","0014-4851","412976100006"
"10.1007/s00231-016-1952-9","2017","0947-7411","401855700030"
